2023-05-01T19:18:37.306-0400 DEBUG PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (HikariPool-1)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/Users/ailisi1/Downloads/HibernateEntityMapping_gym%202/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.ascending3.learnrestapi3.entity.Coach
		com.ascending3.learnrestapi3.entity.Course
		com.ascending3.learnrestapi3.entity.Member]
	Mapping files names []
	Properties []
2023-05-01T19:18:37.380-0400 DEBUG Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2023-05-01T19:18:37.390-0400 DEBUG Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2023-05-01T19:18:37.404-0400 DEBUG Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2023-05-01T19:18:37.672-0400 INFO HHH000412: Hibernate ORM core version 5.6.15.Final
2023-05-01T19:18:38.885-0400 DEBUG Adding type registration timestamp -> org.hibernate.type.TimestampType@175c5c3a
2023-05-01T19:18:38.885-0400 DEBUG Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@175c5c3a
2023-05-01T19:18:38.885-0400 DEBUG Adding type registration java.util.Date -> org.hibernate.type.TimestampType@175c5c3a
2023-05-01T19:18:38.887-0400 DEBUG Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@3cb6e0ee
2023-05-01T19:18:38.891-0400 DEBUG Adding type registration calendar -> org.hibernate.type.CalendarType@2d130ac4
2023-05-01T19:18:38.891-0400 DEBUG Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@2d130ac4
2023-05-01T19:18:38.891-0400 DEBUG Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@2d130ac4
2023-05-01T19:18:38.892-0400 DEBUG Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@29c53c4f
2023-05-01T19:18:38.893-0400 DEBUG Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@5a30722c
2023-05-01T19:18:38.894-0400 DEBUG Adding type registration locale -> org.hibernate.type.LocaleType@27898e13
2023-05-01T19:18:38.894-0400 DEBUG Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@27898e13
2023-05-01T19:18:38.901-0400 DEBUG Adding type registration currency -> org.hibernate.type.CurrencyType@5fd43e58
2023-05-01T19:18:38.901-0400 DEBUG Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@5fd43e58
2023-05-01T19:18:38.902-0400 DEBUG Adding type registration timezone -> org.hibernate.type.TimeZoneType@509a6095
2023-05-01T19:18:38.902-0400 DEBUG Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@509a6095
2023-05-01T19:18:38.903-0400 DEBUG Adding type registration class -> org.hibernate.type.ClassType@3ab595c8
2023-05-01T19:18:38.904-0400 DEBUG Adding type registration java.lang.Class -> org.hibernate.type.ClassType@3ab595c8
2023-05-01T19:18:38.905-0400 DEBUG Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@7781263c
2023-05-01T19:18:38.906-0400 DEBUG Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@7781263c
2023-05-01T19:18:38.908-0400 DEBUG Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@6b9c42bd
2023-05-01T19:18:38.911-0400 DEBUG Adding type registration binary -> org.hibernate.type.BinaryType@2aea717c
2023-05-01T19:18:38.911-0400 DEBUG Adding type registration byte[] -> org.hibernate.type.BinaryType@2aea717c
2023-05-01T19:18:38.911-0400 DEBUG Adding type registration [B -> org.hibernate.type.BinaryType@2aea717c
2023-05-01T19:18:38.913-0400 DEBUG Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@5e3db14
2023-05-01T19:18:38.913-0400 DEBUG Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@5e3db14
2023-05-01T19:18:38.914-0400 DEBUG Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@5e3db14
2023-05-01T19:18:38.917-0400 DEBUG Adding type registration row_version -> org.hibernate.type.RowVersionType@7741ae1b
2023-05-01T19:18:38.918-0400 DEBUG Adding type registration image -> org.hibernate.type.ImageType@6885ed19
2023-05-01T19:18:38.920-0400 DEBUG Adding type registration characters -> org.hibernate.type.CharArrayType@37775bb1
2023-05-01T19:18:38.920-0400 DEBUG Adding type registration char[] -> org.hibernate.type.CharArrayType@37775bb1
2023-05-01T19:18:38.920-0400 DEBUG Adding type registration [C -> org.hibernate.type.CharArrayType@37775bb1
2023-05-01T19:18:38.921-0400 DEBUG Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@17ec335a
2023-05-01T19:18:38.922-0400 DEBUG Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@17ec335a
2023-05-01T19:18:38.923-0400 DEBUG Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@17ec335a
2023-05-01T19:18:38.925-0400 DEBUG Adding type registration text -> org.hibernate.type.TextType@1c6a0103
2023-05-01T19:18:38.926-0400 DEBUG Adding type registration ntext -> org.hibernate.type.NTextType@377dfb8d
2023-05-01T19:18:38.929-0400 DEBUG Adding type registration blob -> org.hibernate.type.BlobType@1c84d80a
2023-05-01T19:18:38.929-0400 DEBUG Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@1c84d80a
2023-05-01T19:18:38.932-0400 DEBUG Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@723742b2
2023-05-01T19:18:38.944-0400 DEBUG Adding type registration clob -> org.hibernate.type.ClobType@624b3544
2023-05-01T19:18:38.944-0400 DEBUG Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@624b3544
2023-05-01T19:18:38.950-0400 DEBUG Adding type registration nclob -> org.hibernate.type.NClobType@5e193ef5
2023-05-01T19:18:38.950-0400 DEBUG Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@5e193ef5
2023-05-01T19:18:38.951-0400 DEBUG Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@61da0413
2023-05-01T19:18:38.951-0400 DEBUG Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@115c946b
2023-05-01T19:18:38.959-0400 DEBUG Adding type registration serializable -> org.hibernate.type.SerializableType@58a7dc4
2023-05-01T19:18:38.972-0400 DEBUG Adding type registration object -> org.hibernate.type.ObjectType@3869a6e5
2023-05-01T19:18:38.973-0400 DEBUG Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@3869a6e5
2023-05-01T19:18:38.974-0400 DEBUG Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@d25e878
2023-05-01T19:18:38.975-0400 DEBUG Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@47187f50
2023-05-01T19:18:38.975-0400 DEBUG Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@78116659
2023-05-01T19:18:38.975-0400 DEBUG Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@712e787e
2023-05-01T19:18:38.975-0400 DEBUG Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@53ea380b
2023-05-01T19:18:38.975-0400 DEBUG Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@578c3fd9
2023-05-01T19:18:38.975-0400 DEBUG Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@245cb8df
2023-05-01T19:18:38.975-0400 DEBUG Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@26b3c9a2
2023-05-01T19:18:39.002-0400 DEBUG Injecting JPA temp ClassLoader [org.springframework.instrument.classloading.SimpleThrowawayClassLoader@7dbae40] into BootstrapContext; was [null]
2023-05-01T19:18:39.002-0400 DEBUG ClassLoaderAccessImpl#injectTempClassLoader(org.springframework.instrument.classloading.SimpleThrowawayClassLoader@7dbae40) [was null]
2023-05-01T19:18:39.004-0400 DEBUG Injecting ScanEnvironment [org.hibernate.jpa.boot.internal.StandardJpaScanEnvironmentImpl@25a5c8e] into BootstrapContext; was [null]
2023-05-01T19:18:39.005-0400 DEBUG Injecting ScanOptions [org.hibernate.boot.archive.scan.internal.StandardScanOptions@656c5c3] into BootstrapContext; was [org.hibernate.boot.archive.scan.internal.StandardScanOptions@7911cc15]
2023-05-01T19:18:39.083-0400 DEBUG Injecting JPA temp ClassLoader [null] into BootstrapContext; was [org.springframework.instrument.classloading.SimpleThrowawayClassLoader@7dbae40]
2023-05-01T19:18:39.083-0400 DEBUG ClassLoaderAccessImpl#injectTempClassLoader(null) [was org.springframework.instrument.classloading.SimpleThrowawayClassLoader@7dbae40]
2023-05-01T19:18:39.132-0400 DEBUG Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2023-05-01T19:18:39.135-0400 DEBUG Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2023-05-01T19:18:39.139-0400 DEBUG Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2023-05-01T19:18:39.139-0400 DEBUG Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2023-05-01T19:18:39.141-0400 DEBUG Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2023-05-01T19:18:39.147-0400 DEBUG Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2023-05-01T19:18:39.151-0400 DEBUG Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2023-05-01T19:18:39.159-0400 DEBUG Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2023-05-01T19:18:39.163-0400 DEBUG Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
2023-05-01T19:18:39.166-0400 DEBUG Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2023-05-01T19:18:39.167-0400 DEBUG Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2023-05-01T19:18:39.168-0400 DEBUG Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
2023-05-01T19:18:39.168-0400 DEBUG Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2023-05-01T19:18:39.173-0400 DEBUG Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2023-05-01T19:18:39.194-0400 DEBUG Database ->
       name : PostgreSQL
    version : 15.2 (Debian 15.2-1.pgdg110+1)
      major : 15
      minor : 2
2023-05-01T19:18:39.195-0400 DEBUG Driver ->
       name : PostgreSQL JDBC Driver
    version : 42.2.8
      major : 42
      minor : 2
2023-05-01T19:18:39.195-0400 DEBUG JDBC version : 4.2
2023-05-01T19:18:39.281-0400 INFO HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL9Dialect
2023-05-01T19:18:39.343-0400 DEBUG JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
2023-05-01T19:18:39.414-0400 DEBUG Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@7282af25
2023-05-01T19:18:39.414-0400 DEBUG Adding type registration java.util.UUID -> org.hibernate.type.PostgresUUIDType@7282af25
2023-05-01T19:18:39.414-0400 DEBUG HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@7781263c
2023-05-01T19:18:39.423-0400 DEBUG Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@759a678a] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@6cdbe5ec]
2023-05-01T19:18:39.630-0400 DEBUG Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2023-05-01T19:18:39.699-0400 DEBUG Binding entity from annotated class: com.ascending3.learnrestapi3.entity.Coach
2023-05-01T19:18:39.771-0400 DEBUG Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2023-05-01T19:18:39.792-0400 DEBUG Import with entity name Coach
2023-05-01T19:18:39.800-0400 DEBUG Bind entity com.ascending3.learnrestapi3.entity.Coach on table coach
2023-05-01T19:18:39.881-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(coach), mappingColumn=id, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.888-0400 DEBUG Not known whether passed class name [com.ascending3.learnrestapi3.entity.Coach] is safe
2023-05-01T19:18:39.888-0400 DEBUG No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : com.ascending3.learnrestapi3.entity.Coach
2023-05-01T19:18:39.895-0400 DEBUG MetadataSourceProcessor property id with lazy=false
2023-05-01T19:18:39.898-0400 DEBUG Attempting to locate auto-apply AttributeConverter for property [com.ascending3.learnrestapi3.entity.Coach:id]
2023-05-01T19:18:39.903-0400 DEBUG building SimpleValue for id
2023-05-01T19:18:39.909-0400 DEBUG Building property id
2023-05-01T19:18:39.915-0400 DEBUG #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
2023-05-01T19:18:39.916-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(coach), mappingColumn=description, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.916-0400 DEBUG MetadataSourceProcessor property description with lazy=false
2023-05-01T19:18:39.917-0400 DEBUG Attempting to locate auto-apply AttributeConverter for property [com.ascending3.learnrestapi3.entity.Coach:description]
2023-05-01T19:18:39.917-0400 DEBUG building SimpleValue for description
2023-05-01T19:18:39.918-0400 DEBUG Building property description
2023-05-01T19:18:39.920-0400 DEBUG Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='coach'}
2023-05-01T19:18:39.920-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(coach), mappingColumn=members, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.930-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(coach), mappingColumn=null, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.946-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(coach), mappingColumn=element, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.947-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(coach), mappingColumn=members_key, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.948-0400 DEBUG Binding column: Ejb3JoinColumn{logicalColumnName='members_KEY', referencedColumn='null', mappedBy='null'}
2023-05-01T19:18:39.952-0400 DEBUG Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='coach'}
2023-05-01T19:18:39.952-0400 DEBUG Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='coach'}
2023-05-01T19:18:39.953-0400 DEBUG Collection role: com.ascending3.learnrestapi3.entity.Coach.members
2023-05-01T19:18:39.963-0400 DEBUG Building property members
2023-05-01T19:18:39.963-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(coach), mappingColumn=name, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.964-0400 DEBUG MetadataSourceProcessor property name with lazy=false
2023-05-01T19:18:39.964-0400 DEBUG Attempting to locate auto-apply AttributeConverter for property [com.ascending3.learnrestapi3.entity.Coach:name]
2023-05-01T19:18:39.964-0400 DEBUG building SimpleValue for name
2023-05-01T19:18:39.964-0400 DEBUG Building property name
2023-05-01T19:18:39.980-0400 DEBUG Binding entity from annotated class: com.ascending3.learnrestapi3.entity.Course
2023-05-01T19:18:39.980-0400 DEBUG Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2023-05-01T19:18:39.980-0400 DEBUG Import with entity name Course
2023-05-01T19:18:39.980-0400 DEBUG Bind entity com.ascending3.learnrestapi3.entity.Course on table course
2023-05-01T19:18:39.983-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(course), mappingColumn=id, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.984-0400 DEBUG Not known whether passed class name [com.ascending3.learnrestapi3.entity.Course] is safe
2023-05-01T19:18:39.984-0400 DEBUG No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : com.ascending3.learnrestapi3.entity.Course
2023-05-01T19:18:39.984-0400 DEBUG MetadataSourceProcessor property id with lazy=false
2023-05-01T19:18:39.984-0400 DEBUG Attempting to locate auto-apply AttributeConverter for property [com.ascending3.learnrestapi3.entity.Course:id]
2023-05-01T19:18:39.984-0400 DEBUG building SimpleValue for id
2023-05-01T19:18:39.984-0400 DEBUG Building property id
2023-05-01T19:18:39.985-0400 DEBUG #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
2023-05-01T19:18:39.985-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(course), mappingColumn=create_date, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.985-0400 DEBUG MetadataSourceProcessor property createDate with lazy=false
2023-05-01T19:18:39.985-0400 DEBUG Attempting to locate auto-apply AttributeConverter for property [com.ascending3.learnrestapi3.entity.Course:createDate]
2023-05-01T19:18:39.985-0400 DEBUG building SimpleValue for createDate
2023-05-01T19:18:39.985-0400 DEBUG Building property createDate
2023-05-01T19:18:39.986-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(course), mappingColumn=description, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.986-0400 DEBUG MetadataSourceProcessor property description with lazy=false
2023-05-01T19:18:39.986-0400 DEBUG Attempting to locate auto-apply AttributeConverter for property [com.ascending3.learnrestapi3.entity.Course:description]
2023-05-01T19:18:39.986-0400 DEBUG building SimpleValue for description
2023-05-01T19:18:39.986-0400 DEBUG Building property description
2023-05-01T19:18:39.986-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(course), mappingColumn=null, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.987-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(course), mappingColumn=element, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.987-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(course), mappingColumn=members_key, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.987-0400 DEBUG Binding column: Ejb3JoinColumn{logicalColumnName='members_KEY', referencedColumn='null', mappedBy='null'}
2023-05-01T19:18:39.987-0400 DEBUG Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='courses'}
2023-05-01T19:18:39.987-0400 DEBUG Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='courses'}
2023-05-01T19:18:39.987-0400 DEBUG Collection role: com.ascending3.learnrestapi3.entity.Course.members
2023-05-01T19:18:39.988-0400 DEBUG Building property members
2023-05-01T19:18:39.988-0400 DEBUG Binding column: Ejb3Column{table=org.hibernate.mapping.Table(course), mappingColumn=name, insertable=true, updatable=true, unique=false}
2023-05-01T19:18:39.988-0400 DEBUG MetadataSourceProcessor property name with lazy=false
2023-05-01T19:18:39.988-0400 DEBUG Attempting to locate auto-apply AttributeConverter for property [com.ascending3.learnrestapi3.entity.Course:name]
